GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spf4j-avro,org.spf4j.avro,GenericRecordBuilder,83,137,1,5,18,37,3,8,2,6
spf4j-avro,org.spf4j.avro.schema,SchemasWithClasses.new Object() {...},2,17,0,0,0,1,0,1,0,1
spf4j-avro,org.spf4j.avro.schema,CloningVisitor,156,206,17,13,20,49,15,11,1,7
spf4j-avro,org.spf4j.avro.schema,Schemas,150,176,24,17,23,46,22,13,3,5
spf4j-avro,org.spf4j.avro.schema,ImmutableCloningVisitor,156,205,19,15,20,46,17,10,1,6
spf4j-avro,org.spf4j.avro.schema,SchemasWithClasses,12,41,0,4,1,10,1,7,1,5
spf4j-avro,org.spf4j.avro.schema,SchemaUtils,285,800,40,71,52,203,31,48,1,19
spf4j-avro,org.spf4j.avro.schema,Schemas.new Object() {...},18,117,0,0,0,2,0,1,0,1
spf4j-avro,org.spf4j.avro.schema,CloningVisitor.new Object() {...},14,89,0,0,0,1,0,1,0,1
spf4j-avro,org.spf4j.avro.schema,ImmutableCloningVisitor.new Object() {...},14,89,0,0,0,1,0,1,0,1
spf4j-avro,org.spf4j.avro.schema,SchemaVisitor,0,2,0,0,0,1,0,1,0,1
spf4j-avro,org.spf4j.avro.schema,SchemaVisitorAction,0,49,0,0,0,6,0,2,0,2
spf4j-avro,org.spf4j.avro.schema,SchemaUtils.new Object() {...},14,89,0,0,0,1,0,1,0,1
