GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spf4j-avro,org.spf4j.avro,GenericRecordBuilder,83,137,1,5,18,37,3,8,2,6
spf4j-avro,org.spf4j.avro.schema,SchemasWithClasses.new Object() {...},2,17,0,0,0,1,0,1,0,1
spf4j-avro,org.spf4j.avro.schema,CloningVisitor,137,187,15,11,19,44,13,10,1,6
spf4j-avro,org.spf4j.avro.schema,ImmutableCloningVisitor,138,201,18,14,19,44,16,10,1,6
spf4j-avro,org.spf4j.avro.schema,Schemas,153,176,24,17,25,46,23,13,4,5
spf4j-avro,org.spf4j.avro.schema,SchemasWithClasses,12,41,0,4,1,10,1,7,1,5
spf4j-avro,org.spf4j.avro.schema,SchemaUtils,25,127,5,11,8,38,6,14,1,11
spf4j-avro,org.spf4j.avro.schema,Schemas.new Object() {...},18,117,0,0,0,2,0,1,0,1
spf4j-avro,org.spf4j.avro.schema,CloningVisitor.new Object() {...},14,89,0,0,0,1,0,1,0,1
spf4j-avro,org.spf4j.avro.schema,ImmutableCloningVisitor.new Object() {...},14,89,0,0,0,1,0,1,0,1
spf4j-avro,org.spf4j.avro.schema,SchemaVisitor,0,2,0,0,0,1,0,1,0,1
spf4j-avro,org.spf4j.avro.schema,SchemaVisitorAction,5,53,0,0,0,6,1,3,1,3
spf4j-avro,org.spf4j.avro.schema,SchemaUtils.new Object() {...},3,23,0,0,0,1,0,1,0,1
