GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spf4j-core/spf4j-config-discovery-maven-plugin,org.spf4j.config_discovery.maven.plugin,ConfigScannerMojo.new Supplier() {...},24,0,0,0,4,0,2,0,2,0
spf4j-core/spf4j-config-discovery-maven-plugin,org.spf4j.config_discovery.maven.plugin,FieldInfo,59,0,4,0,13,0,8,0,6,0
spf4j-core/spf4j-config-discovery-maven-plugin,org.spf4j.config_discovery.maven.plugin,ConfigScannerMojo,863,0,66,0,165,0,42,0,9,0
spf4j-core/spf4j-config-discovery-maven-plugin,org.spf4j.config_discovery.maven.plugin,JsonUtils.new ThreadLocal() {...},6,0,0,0,2,0,2,0,2,0
spf4j-core/spf4j-config-discovery-maven-plugin,org.spf4j.config_discovery.maven.plugin,JsonUtils,326,0,17,0,46,0,16,0,5,0
spf4j-core/spf4j-config-discovery-maven-plugin,org.spf4j.config_discovery.maven.plugin,HelpMojo,889,0,108,0,157,0,70,0,16,0
spf4j-core/spf4j-jdiff-maven-plugin,org.spf4j.maven,MavenRepositoryUtils,2,280,1,5,1,60,1,13,0,11
spf4j-core/spf4j-jdiff-maven-plugin,org.spf4j.maven,MavenRepositoryUtils.new DefaultServiceLocator.ErrorHandler() {...},18,3,0,0,2,1,1,1,1,1
spf4j-core/spf4j-jdiff-maven-plugin,org.spf4j.maven,MavenRepositoryUtils.new AbstractRepositoryListener() {...},5,3,0,0,2,1,1,1,1,1
spf4j-core/spf4j-jdiff-maven-plugin,org.spf4j.jdiff.utils,Compress,271,189,23,13,56,43,20,6,4,4
spf4j-core/spf4j-jdiff-maven-plugin,org.spf4j.jdiff.utils,Compress.new SimpleFileVisitor() {...},0,48,0,0,0,9,0,3,0,3
spf4j-core/spf4j-jdiff-maven-plugin,org.spf4j.jdiff,ApiChangesMojo,175,0,4,0,36,0,15,0,13,0
spf4j-core/spf4j-jdiff-maven-plugin,org.spf4j.jdiff,JDiffRunner,121,875,10,26,20,144,11,18,1,10
spf4j-core/spf4j-jdiff-maven-plugin,org.spf4j.jdiff,ApiDescriptorMojo,88,0,0,0,13,0,5,0,5,0
spf4j-core/spf4j-jdiff-maven-plugin,org.spf4j.jdiff,ApiDiffCmd.Options,0,25,0,0,0,7,0,1,0,1
spf4j-core/spf4j-jdiff-maven-plugin,org.spf4j.jdiff,ApiDiffCmd,22,33,0,0,6,7,0,1,0,1
spf4j-core/spf4j-jdiff-maven-plugin,org.spf4j.jdiff,BaseJDiffMojo,355,0,40,0,54,0,35,0,15,0
spf4j-core/spf4j-jdiff-maven-plugin,org.spf4j.jdiff,JavadocExecutionException,9,0,0,0,4,0,2,0,2,0
spf4j-core/spf4j-jdiff-maven-plugin,org.spf4j.jdiff,JavadocExecutor,62,60,2,2,7,16,4,4,2,4
spf4j-core/spf4j-jdiff-maven-plugin,org.spf4j.jdiff,JDiffUtils,0,43,0,4,0,9,0,3,0,1
