GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spf4j-zel,org.spf4j.zel.instr.var,LOG,0,16,0,0,0,4,0,3,0,3
spf4j-zel,org.spf4j.zel.instr.var,OUT,5,39,0,2,0,9,0,4,0,3
spf4j-zel,org.spf4j.zel.instr.var,DECODE,2,43,1,5,1,12,1,5,0,3
spf4j-zel,org.spf4j.zel.instr.var,MAX,0,11,0,0,0,4,0,3,0,3
spf4j-zel,org.spf4j.zel.instr.var,INT,0,15,0,0,0,4,0,3,0,3
spf4j-zel,org.spf4j.zel.instr.var,SQRT,0,16,0,0,0,4,0,3,0,3
spf4j-zel,org.spf4j.zel.instr.var,ARRAY,0,15,0,0,0,4,0,3,0,3
spf4j-zel,org.spf4j.zel.instr.var,MIN,0,11,0,0,0,4,0,3,0,3
spf4j-zel,org.spf4j.zel.instr.var,LOG10,16,0,0,0,4,0,3,0,3,0
spf4j-zel,org.spf4j.zel.instr.var,RANDOM,0,11,0,0,0,4,0,3,0,3
spf4j-zel,org.spf4j.zel.operators,LongOperators.Mul.new Operator() {...},54,36,13,1,8,7,7,2,0,2
spf4j-zel,org.spf4j.zel.operators,LongOperators.Mul.new Operator() {...},7,6,0,0,1,1,1,1,1,1
spf4j-zel,org.spf4j.zel.operators,BigDecimalOperators.Mod,0,76,0,0,0,13,0,1,0,1
spf4j-zel,org.spf4j.zel.operators,LongOperators.Mul.new Operator() {...},8,6,0,0,1,1,1,1,1,1
spf4j-zel,org.spf4j.zel.operators,DoubleOperators.Sub.new Operator() {...},7,6,0,0,1,1,1,1,1,1
spf4j-zel,org.spf4j.zel.operators,LongOperators.Mul.new Operator() {...},10,6,0,0,1,1,1,1,1,1
spf4j-zel,org.spf4j.zel.operators,LongOperators,21,0,0,0,7,0,2,0,2,0
spf4j-zel,org.spf4j.zel.operators,IntegerOperators.Mul,0,76,0,0,0,13,0,1,0,1
spf4j-zel,org.spf4j.zel.operators,DoubleOperators.Sub.new Operator() {...},0,14,0,0,0,2,0,2,0,2
spf4j-zel,org.spf4j.zel.operators,DoubleOperators.Sub.new Operator() {...},8,6,0,0,1,1,1,1,1,1
spf4j-zel,org.spf4j.zel.operators,LongOperators.Div.new Operator() {...},8,6,0,0,1,1,1,1,1,1
spf4j-zel,org.spf4j.zel.operators,LongOperators.Div.new Operator() {...},0,13,0,0,0,2,0,2,0,2
spf4j-zel,org.spf4j.zel.operators,LongOperators.Div.new Operator() {...},10,6,0,0,1,1,1,1,1,1
spf4j-zel,org.spf4j.zel.operators,LongOperators.Div.new Operator() {...},9,6,0,0,1,1,1,1,1,1
spf4j-zel,org.spf4j.zel.operators,Operators,21,155,2,10,4,22,3,6,1,2
spf4j-zel,org.spf4j.zel.operators,BigIntegerOperators.Sub.new Operator() {...},7,6,0,0,1,1,1,1,1,1
spf4j-zel,org.spf4j.zel.operators,BigIntegerOperators.Sub.new Operator() {...},5,6,0,0,1,1,1,1,1,1
spf4j-zel,org.spf4j.zel.operators,BigIntegerOperators.Sub.new Operator() {...},6,6,0,0,1,1,1,1,1,1
spf4j-zel,org.spf4j.zel.operators,BigIntegerOperators.Mod,0,73,0,0,0,13,0,1,0,1
spf4j-zel,org.spf4j.zel.operators,BigIntegerOperators.Sub.new Operator() {...},11,6,0,0,1,1,1,1,1,1
spf4j-zel,org.spf4j.zel.operators,IntegerOperators.Add.new Operator() {...},0,27,0,2,0,5,0,3,0,2
spf4j-zel,org.spf4j.zel.operators,IntegerOperators.Add.new Operator() {...},43,6,6,0,7,1,4,1,1,1
spf4j-zel,org.spf4j.zel.operators,IntegerOperators.Add.new Operator() {...},0,14,0,0,0,2,0,2,0,2
spf4j-zel,org.spf4j.zel.operators,LongOperators.Mod,0,73,0,0,0,13,0,1,0,1
spf4j-zel,org.spf4j.zel.operators,IntegerOperators.Add.new Operator() {...},8,6,0,0,1,1,1,1,1,1
spf4j-zel,org.spf4j.zel.operators,IntegerOperators.Add.new Operator() {...},11,6,0,0,1,1,1,1,1,1
spf4j-zel,org.spf4j.zel.operators,BigDecimalOperators.Pow.new Operator() {...},8,6,0,0,1,1,1,1,1,1
spf4j-zel,org.spf4j.zel.operators,BigDecimalOperators.Mod.new Operator() {...},7,6,0,0,1,1,1,1,1,1
spf4j-zel,org.spf4j.zel.operators,Operator,0,5,0,0,0,1,0,1,0,1
spf4j-zel,org.spf4j.zel.operators,BigDecimalOperators.Mod.new Operator() {...},8,6,0,0,1,1,1,1,1,1
spf4j-zel,org.spf4j.zel.operators,BigDecimalOperators.Mod.new Operator() {...},6,6,0,0,1,1,1,1,1,1
spf4j-zel,org.spf4j.zel.operators,BigDecimalOperators.Mod.new Operator() {...},10,6,0,0,1,1,1,1,1,1
